Freq(GHz),S11 Log Mag(dB)
2.681,-1.1902535
2.682,-1.1696461
2.683,-1.1804954
2.684,-1.1802739
2.685,-1.1775221
2.686,-1.1730348
2.687,-1.1840613
2.688,-1.1658218
2.689,-1.1888508
2.69,-1.1663332
2.691,-1.1654868
2.692,-1.1783952
2.693,-1.1627964
2.694,-1.1738445
2.695,-1.1759531
2.696,-1.1438377
2.697,-1.1673549
2.698,-1.1395041
2.699,-1.1420518
2.7,-1.1473083
2.701,-1.1322018
2.702,-1.1486747
2.703,-1.1223209
2.704,-1.1256983
2.705,-1.1228122
2.706,-1.1286823
2.707,-1.1284707
2.708,-1.1205018
2.709,-1.1378566
2.71,-1.1201518
2.711,-1.134932
2.712,-1.1287826
2.713,-1.152784
2.714,-1.1428945
2.715,-1.1405119
2.716,-1.137069
2.717,-1.1444235
2.718,-1.1477392
2.719,-1.1473312
2.72,-1.1538376
2.721,-1.1393703
2.722,-1.1677915
2.723,-1.1444979
2.724,-1.1766247
2.725,-1.1770802
2.726,-1.1628951
2.727,-1.1842091
2.728,-1.1749364
2.729,-1.1758804
2.73,-1.1727352
2.731,-1.1938107
2.732,-1.163307
2.733,-1.1823686
2.734,-1.1816723
2.735,-1.2019985
2.736,-1.1991258
2.737,-1.1938612
2.738,-1.1939186
2.739,-1.1856053
2.74,-1.1739533
2.741,-1.1724479
2.742,-1.1664459
2.743,-1.1470624
2.744,-1.1665034
2.745,-1.1781504
2.746,-1.1604044
2.747,-1.1708622
2.748,-1.1629432
2.749,-1.165833
2.75,-1.1395653
2.751,-1.1599615
2.752,-1.1543721
2.753,-1.1650602
2.754,-1.1518927
2.755,-1.1621161
2.756,-1.1586653
2.757,-1.1671466
2.758,-1.1484112
2.759,-1.1528715
2.76,-1.1615719
2.761,-1.1388092
2.762,-1.1465954
2.763,-1.1378828
2.764,-1.1458365
2.765,-1.144955
2.766,-1.1326188
2.767,-1.1298937
2.768,-1.1445513
2.769,-1.1393656
2.77,-1.1354861
2.771,-1.1564466
2.772,-1.1305854
2.773,-1.1347979
2.774,-1.1403103
2.775,-1.1535164
2.776,-1.1554629
2.777,-1.1367661
2.778,-1.1272169
2.779,-1.1317115
2.78,-1.1456547
2.781,-1.1400231
2.782,-1.1502738
2.783,-1.1292722
2.784,-1.1303471
2.785,-1.1168799
2.786,-1.1265032
2.787,-1.1527917
2.788,-1.1265842
2.789,-1.1280026
