!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
2224000000,0.10719763
2225000000,0.05114587
2226000000,0.10257324
2227000000,0.13006881
2228000000,0.16052862
2229000000,0.16751975
2230000000,0.16703074
2231000000,0.22323374
2232000000,0.23356284
2233000000,0.23620465
2234000000,0.24245375
2235000000,0.25583926
2236000000,0.26131985
2237000000,0.30783758
2238000000,0.30089492
2239000000,0.35866725
2240000000,0.37121427
2241000000,0.38962623
2242000000,0.36860079
2243000000,0.43151346
2244000000,0.43862829
2245000000,0.44322252
2246000000,0.47804147
2247000000,0.50483912
2248000000,0.55572724
2249000000,0.56332767
2250000000,0.53781343
2251000000,0.53820884
2252000000,0.61150944
2253000000,0.63829905
2254000000,0.63554013
2255000000,0.65136397
2256000000,0.70687962
2257000000,0.70349622
2258000000,0.73359746
2259000000,0.78389204
2260000000,0.77092093
2261000000,0.79820138
2262000000,0.83249182
2263000000,0.85511756
2264000000,0.85266995
2265000000,0.91975081
2266000000,0.93368828
2267000000,0.94172454
2268000000,0.9312076
2269000000,0.96756893
2270000000,0.9942556
2271000000,1.0460457
2272000000,1.0186647
2273000000,0.99947858
2274000000,1.0731543
2275000000,1.0832714
2276000000,1.1188306
2277000000,1.0952851
2278000000,1.1049392
2279000000,1.1306049
2280000000,1.1557574
2281000000,1.1208574
2282000000,1.1464466
2283000000,1.1739682
2284000000,1.1929495
2285000000,1.18757
2286000000,1.1905428
2287000000,1.2055525
2288000000,1.1985154
2289000000,1.2409259
2290000000,1.2560241
2291000000,1.2427024
2292000000,1.2372754
2293000000,1.2262915
2294000000,1.2689143
2295000000,1.2509141
2296000000,1.2290136
2297000000,1.2495371
2298000000,1.2386531
2299000000,1.2370039
2300000000,1.2345415
2301000000,1.2458026
2302000000,1.2402922
2303000000,1.1834985
2304000000,1.2080519
2305000000,1.2053589
2306000000,1.2035869
2307000000,1.1799464
2308000000,1.126173
2309000000,1.1718564
2310000000,1.0945333
2311000000,1.1342362
2312000000,1.1159105
2313000000,1.0974997
2314000000,1.1243657
2315000000,1.0712806
2316000000,1.0799677
2317000000,1.0933148
2318000000,1.0672053
2319000000,0.99398321
2320000000,1.0121853
2321000000,1.0215305
2322000000,0.99863911
2323000000,1.0165716
2324000000,0.97174597
2325000000,0.97957265
2326000000,0.96516252
2327000000,0.94808096
2328000000,0.91630948
2329000000,0.92834926
2330000000,0.92009538
2331000000,0.89445168
2332000000,0.89622545
2333000000,0.85486597
2334000000,0.83495784
2335000000,0.81605524
2336000000,0.78871596
2337000000,0.78116441
2338000000,0.76533717
2339000000,0.71274316
2340000000,0.7246328
2341000000,0.67182767
2342000000,0.67521542
2343000000,0.66177219
2344000000,0.62786782
2345000000,0.6109221
2346000000,0.58886683
2347000000,0.57716358
2348000000,0.55348098
2349000000,0.54555905
2350000000,0.51830989
2351000000,0.50511402
2352000000,0.49530411
2353000000,0.462336
2354000000,0.43562755
2355000000,0.4244107
2356000000,0.403312
2357000000,0.37725556
2358000000,0.35403129
2359000000,0.31185594
2360000000,0.33289719
2361000000,0.33819383
2362000000,0.29133204
2363000000,0.28965247
2364000000,0.27925122
2365000000,0.24914888
2366000000,0.24227121
2367000000,0.2109928
2368000000,0.18516718
2369000000,0.18220927
2370000000,0.18737264
2371000000,0.14137615
2372000000,0.14740734
2373000000,0.15671754
2374000000,0.14069775
2375000000,0.13038532
2376000000,0.094541378
2377000000,0.097405769
2378000000,0.064844579
2379000000,0.075471848
2380000000,0.077269398
2381000000,0.05625055
2382000000,0.040542081
2383000000,0.017222205
2384000000,0.023075778
2385000000,0.015367998
2386000000,0.0071867965
2387000000,-0.0047871172
2388000000,-0.026274983
2389000000,-0.01991233
2390000000,-0.038689516
2391000000,-0.054118019
2392000000,-0.080806062
2393000000,-0.067809097
2394000000,-0.10344134
2395000000,-0.11018322
2396000000,-0.10734378
2397000000,-0.1077769
2398000000,-0.11119967
2399000000,-0.13598515
2400000000,-0.14235222
2401000000,-0.17222202
2402000000,-0.16473369
2403000000,-0.16602798
2404000000,-0.15675679
2405000000,-0.17026445
2406000000,-0.17474608
2407000000,-0.17366953
2408000000,-0.19694419
2409000000,-0.22695404
2410000000,-0.2107576
2411000000,-0.23204771
2412000000,-0.23564032
2413000000,-0.24281506
2414000000,-0.24200201
2415000000,-0.25695446
2416000000,-0.27318558
2417000000,-0.28650299
2418000000,-0.28353566
2419000000,-0.28615305
2420000000,-0.27699023
2421000000,-0.29820493
2422000000,-0.30531394
2423000000,-0.33677521
2424000000,-0.34491718
2425000000,-0.34419978
2426000000,-0.3580322
2427000000,-0.35888201
2428000000,-0.36918095
2429000000,-0.38502297
2430000000,-0.38622627
2431000000,-0.39352742
2432000000,-0.42204356
2433000000,-0.42881343
2434000000,-0.40560898
2435000000,-0.44560313
2436000000,-0.4420222
2437000000,-0.42604753
2438000000,-0.46868837
2439000000,-0.45602491
2440000000,-0.4874956
2441000000,-0.478726
2442000000,-0.5000056
2443000000,-0.5275625
2444000000,-0.5198853
2445000000,-0.53075886
2446000000,-0.54227781
2447000000,-0.53594095
2448000000,-0.5458582
2449000000,-0.54388636
2450000000,-0.56870103
2451000000,-0.58039236
2452000000,-0.56195128
2453000000,-0.58971065
2454000000,-0.58941627
2455000000,-0.6023103
2456000000,-0.58924609
2457000000,-0.61890507
2458000000,-0.613217
2459000000,-0.62916625
2460000000,-0.62663317
2461000000,-0.62759113
2462000000,-0.63317597
2463000000,-0.62961918
2464000000,-0.66042501
2465000000,-0.65874565
2466000000,-0.66717672
2467000000,-0.6604178
2468000000,-0.68127382
2469000000,-0.68131
2470000000,-0.69219172
2471000000,-0.70057386
2472000000,-0.70070648
2473000000,-0.71978599
2474000000,-0.71682972
2475000000,-0.73366135
2476000000,-0.74023479
2477000000,-0.73866278
2478000000,-0.75382751
2479000000,-0.75967717
2480000000,-0.76948088
2481000000,-0.76784074
2482000000,-0.78760469
2483000000,-0.77338392
2484000000,-0.80894065
2485000000,-0.80797017
2486000000,-0.80236578
2487000000,-0.82063484
2488000000,-0.83793139
2489000000,-0.82911086
2490000000,-0.84006929
2491000000,-0.84988481
2492000000,-0.85044229
2493000000,-0.86965799
2494000000,-0.85099322
2495000000,-0.87783527
2496000000,-0.88902056
2497000000,-0.90568227
2498000000,-0.89233375
2499000000,-0.89828342
2500000000,-0.90684688
2501000000,-0.91662169
2502000000,-0.91854459
2503000000,-0.92149997
2504000000,-0.95113486
2505000000,-0.92749161
2506000000,-0.92968565
2507000000,-0.94578755
2508000000,-0.94129676
2509000000,-0.95099461
2510000000,-0.97451586
2511000000,-0.9569912
2512000000,-0.96064895
2513000000,-0.96339625
2514000000,-0.97172487
2515000000,-0.96714544
2516000000,-0.96455365
2517000000,-1.0061469
2518000000,-0.9718039
2519000000,-0.99369687
2520000000,-0.98276049
2521000000,-1.0071175
2522000000,-1.0002283
2523000000,-0.99799174
2524000000,-1.0138632
2525000000,-1.027202
2526000000,-1.0217948
2527000000,-1.037892
2528000000,-1.0178832
2529000000,-1.028623
2530000000,-1.044892
2531000000,-1.0390956
2532000000,-1.0333526
2533000000,-1.0589362
2534000000,-1.0689503
2535000000,-1.0661906
2536000000,-1.0817331
2537000000,-1.0576067
2538000000,-1.0792489
2539000000,-1.0837637
2540000000,-1.0849437
2541000000,-1.0919851
2542000000,-1.1017145
2543000000,-1.1052905
2544000000,-1.116811
2545000000,-1.1187627
2546000000,-1.1253431
2547000000,-1.1389493
2548000000,-1.1513164
2549000000,-1.1474234
2550000000,-1.1547629
2551000000,-1.1539978
2552000000,-1.165659
2553000000,-1.1673272
2554000000,-1.162469
2555000000,-1.1583021
2556000000,-1.1634529
2557000000,-1.1839679
2558000000,-1.1861101
2559000000,-1.1932625
2560000000,-1.1726696
2561000000,-1.1809913
2562000000,-1.1937616
2563000000,-1.1759921
2564000000,-1.1839741
2565000000,-1.1938006
2566000000,-1.18366
2567000000,-1.2004932
2568000000,-1.1805764
2569000000,-1.18187
2570000000,-1.2182266
2571000000,-1.1833942
2572000000,-1.1932243
2573000000,-1.2050228
2574000000,-1.204628
2575000000,-1.2120841
2576000000,-1.2062756
2577000000,-1.1844268
2578000000,-1.2054808
2579000000,-1.1851345
2580000000,-1.204643
2581000000,-1.2193334
2582000000,-1.2005111
2583000000,-1.2086655
2584000000,-1.2168094
2585000000,-1.2293568
2586000000,-1.2206309
2587000000,-1.2153821
2588000000,-1.2366686
2589000000,-1.2259967
2590000000,-1.2418329
2591000000,-1.2324467
2592000000,-1.232422
2593000000,-1.2431318
2594000000,-1.2292079
2595000000,-1.2344273
2596000000,-1.2304136
2597000000,-1.2435849
2598000000,-1.2513282
2599000000,-1.2486835
2600000000,-1.2587968
2601000000,-1.2485131
2602000000,-1.2403823
2603000000,-1.2586521
2604000000,-1.2630757
2605000000,-1.2455591
2606000000,-1.2419772
2607000000,-1.2528609
2608000000,-1.2428052
2609000000,-1.2690659
2610000000,-1.2442226
2611000000,-1.2526996
2612000000,-1.2439296
2613000000,-1.2477995
2614000000,-1.2348371
2615000000,-1.2517433
2616000000,-1.2576897
2617000000,-1.2494026
2618000000,-1.2443634
2619000000,-1.2556511
2620000000,-1.2559834
2621000000,-1.2391065
2622000000,-1.2212795
2623000000,-1.2522312
2624000000,-1.243825
2625000000,-1.2348038
2626000000,-1.2289537
