!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 17:07:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
2280000000,13.665401
2281000000,13.361591
2282000000,13.585634
2283000000,13.80543
2284000000,14.278162
2285000000,14.087835
2286000000,14.013319
2287000000,14.223393
2288000000,13.926373
2289000000,14.431197
2290000000,14.487926
2291000000,14.332444
2292000000,14.109522
2293000000,13.867177
2294000000,14.200671
2295000000,14.227258
2296000000,13.825015
2297000000,14.058191
2298000000,13.856349
2299000000,13.802646
2300000000,13.924487
2301000000,13.709765
2302000000,13.551991
2303000000,12.965796
2304000000,13.147363
2305000000,13.050143
2306000000,12.876526
2307000000,12.673094
2308000000,11.947636
2309000000,12.257495
2310000000,11.610275
2311000000,11.786697
2312000000,11.395145
2313000000,11.278178
2314000000,11.380728
2315000000,10.924743
2316000000,10.740726
2317000000,10.980733
2318000000,10.588424
2319000000,10.082673
2320000000,10.146993
2321000000,10.016458
2322000000,10.053
2323000000,10.018786
2324000000,9.7701864
2325000000,9.6856918
2326000000,9.6086731
2327000000,9.544426
2328000000,9.238698
2329000000,9.3206882
2330000000,9.1321707
2331000000,9.044446
2332000000,8.9452019
2333000000,8.7551098
2334000000,8.6510744
2335000000,8.4991732
2336000000,8.3542976
2337000000,8.2439518
2338000000,8.1035099
2339000000,7.9216661
2340000000,7.9675832
2341000000,7.7414961
2342000000,7.7092566
2343000000,7.5896392
2344000000,7.4643216
2345000000,7.4121017
2346000000,7.2452269
2347000000,7.1549635
2348000000,7.0318456
2349000000,6.9542918
2350000000,6.8872652
2351000000,6.7867045
2352000000,6.712492
2353000000,6.6240907
2354000000,6.4808764
2355000000,6.4831004
2356000000,6.3888597
2357000000,6.3062129
2358000000,6.209764
2359000000,6.0975037
2360000000,6.131989
2361000000,6.0948091
2362000000,6.0028524
2363000000,5.9362969
2364000000,5.8954473
2365000000,5.8243747
2366000000,5.7832742
2367000000,5.6772714
2368000000,5.5891976
2369000000,5.5655961
2370000000,5.5353751
2371000000,5.4395547
2372000000,5.4415393
2373000000,5.4005322
2374000000,5.3286734
2375000000,5.2710938
2376000000,5.2042961
2377000000,5.167707
2378000000,5.0910063
2379000000,5.0745649
2380000000,5.0210528
2381000000,4.929399
2382000000,4.8821945
2383000000,4.792973
2384000000,4.735981
2385000000,4.6872535
2386000000,4.6047554
2387000000,4.5337696
2388000000,4.4724221
2389000000,4.3941727
2390000000,4.3404202
2391000000,4.2733474
2392000000,4.2046056
2393000000,4.1543846
2394000000,4.0684028
2395000000,4.0417676
2396000000,3.9844117
2397000000,3.944741
2398000000,3.9075098
2399000000,3.8379798
2400000000,3.7807593
2401000000,3.7086816
2402000000,3.6742225
2403000000,3.6091526
2404000000,3.5822802
2405000000,3.5302923
2406000000,3.4748015
2407000000,3.436949
2408000000,3.3743725
2409000000,3.3179467
2410000000,3.2835591
2411000000,3.2311819
2412000000,3.176554
2413000000,3.1091366
2414000000,3.0698118
2415000000,3.0035059
2416000000,2.9517553
2417000000,2.8938546
2418000000,2.8399513
2419000000,2.8018606
2420000000,2.7393675
2421000000,2.6848316
2422000000,2.6266143
2423000000,2.5763302
2424000000,2.5245352
2425000000,2.4663544
2426000000,2.4243407
2427000000,2.3812599
2428000000,2.3367648
2429000000,2.292994
2430000000,2.2555115
2431000000,2.2166762
2432000000,2.1777263
2433000000,2.1440253
2434000000,2.1063778
2435000000,2.0694299
2436000000,2.0371623
2437000000,2.0065739
2438000000,1.9690927
2439000000,1.9420395
2440000000,1.912711
2441000000,1.8844037
2442000000,1.8572454
2443000000,1.8298156
2444000000,1.8018546
2445000000,1.7775437
2446000000,1.7575403
2447000000,1.7386066
2448000000,1.7161419
2449000000,1.696753
2450000000,1.6787754
2451000000,1.6588997
2452000000,1.6477298
2453000000,1.6284435
2454000000,1.6196221
2455000000,1.6104021
2456000000,1.6073364
2457000000,1.6010866
2458000000,1.6011556
