Freq(GHz),S11 Log Mag(dB)
2.365,-3.0124366595059984
2.366,-3.0342819095712374
2.367,-3.0921291588223037
2.368,-3.141915475637371
2.369,-3.1555334776341044
2.37,-3.1731461545418185
2.371,-3.23032850575409
2.372,-3.2291230311087347
2.373,-3.2542176716337052
2.374,-3.299157290214065
2.375,-3.336083749275436
2.376,-3.3799844286029646
2.377,-3.404531095137278
2.378,-3.457178008021686
2.379,-3.468678734102142
2.38,-3.506653196781366
2.381,-3.5736909100532204
2.382,-3.6092418152280876
2.383,-3.6784350623061735
2.384,-3.7240609042677537
2.385,-3.763991802284243
2.386,-3.8336172598386344
2.387,-3.895656858011665
2.388,-3.9509415300025488
2.389,-4.023818214060764
2.39,-4.075486573624179
2.391,-4.141885670908248
2.392,-4.212264747987185
2.393,-4.265243539475987
2.394,-4.359175035761054
2.395,-4.389135868282038
2.396,-4.455103457192857
2.397,-4.501928910918654
2.398,-4.5467997660922705
2.399,-4.633095015676368
2.4,-4.706669603684844
2.401,-4.80282733874254
2.402,-4.850236862506746
2.403,-4.942432136548805
2.404,-4.981565538477461
2.405,-5.059110604937059
2.406,-5.144668088221037
2.407,-5.2047599269767115
2.408,-5.30733818055105
2.409,-5.403476636227211
2.41,-5.463850145983663
2.411,-5.558534361138063
2.412,-5.6609730899561725
2.413,-5.792917413075641
2.414,-5.872869362237915
2.415,-6.012996943392565
2.416,-6.1272935412680996
2.417,-6.260661947961794
2.418,-6.390387765357847
2.419,-6.485499997802101
2.42,-6.648135961716463
2.421,-6.797222912996278
2.422,-6.964335673856246
2.423,-7.115808280807945
2.424,-7.279287920753975
2.425,-7.47268032456038
2.426,-7.619261668220927
2.427,-7.776063004703073
2.428,-7.94541188670805
2.429,-8.11988859636463
2.43,-8.27597077563126
2.431,-8.44464666131187
2.432,-8.621442298035545
2.433,-8.781008064254918
2.434,-8.967016419271909
2.435,-9.158107941303443
2.436,-9.332425564972997
2.437,-9.504524357834272
2.438,-9.725168701622843
2.439,-9.891587720429687
2.44,-10.079282225263846
2.441,-10.268109863120937
2.442,-10.456847576813368
2.443,-10.655530827533985
2.444,-10.866999384118257
2.445,-11.058721873736882
2.446,-11.222322530886856
2.447,-11.382329327761806
2.448,-11.579067419810888
2.449,-11.75524646420304
2.45,-11.924204153629693
2.451,-12.11765290423579
2.452,-12.229595707662295
2.453,-12.428648147012462
2.454,-12.522234926454555
2.455,-12.621827821636586
2.456,-12.655355137269533
2.457,-12.724355307479966
2.458,-12.723588703888616
2.459,-12.709801687750673
2.46,-12.677742412837546
2.461,-12.558526992634151
2.462,-12.490939717506372
2.463,-12.366711815130886
2.464,-12.28596302451434
2.465,-12.12764753745007
2.466,-11.89028647294295
2.467,-11.740788657092669
2.468,-11.516143690215493
2.469,-11.347095540118481
2.47,-11.131468545294966
2.471,-10.948797374294312
2.472,-10.744005416356856
2.473,-10.568826919807734
2.474,-10.387710676886652
2.475,-10.223255340472585
2.476,-10.02061231962886
2.477,-9.824958737273565
2.478,-9.682868001485764
2.479,-9.507803251405576
2.48,-9.334683921065691
2.481,-9.102117794148873
2.482,-8.975292521735593
2.483,-8.786539944997248
2.484,-8.643605496006778
2.485,-8.486580091799214
2.486,-8.335637699186616
2.487,-8.220384879923026
2.488,-8.10143303877543
2.489,-7.898102409406166
2.49,-7.786785839096222
2.491,-7.655634459935588
2.492,-7.5577613137822475
2.493,-7.436619554955875
2.494,-7.261303658713217
2.495,-7.1614556230600215
2.496,-7.018208363744857
2.497,-6.930907731189216
2.498,-6.795686257178256
2.499,-6.6955724708447475
