!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1214545454.5455,0.20052232,-94.747688,73.312492,-13.140772,-232.9344
1215272727.2727,0.19733784,-84.945541,-171.92352,-12.910995,-232.74719
1216000000,0.18994355,-99.826546,127.92883,-12.409997,-232.60364
1216727272.7273,0.18474701,-88.178734,30.683731,-12.060366,-232.51872
1217454545.4545,0.18547185,-97.254425,109.36887,-12.082071,-232.25966
1218181818.1818,0.17983334,-87.40625,23.982061,-11.657781,-231.68695
1218909090.9091,0.17734601,-92.985954,137.9632,-11.508168,-231.81683
1219636363.6364,0.16997789,-87.935524,-100.49102,-11.035975,-231.90379
1220363636.3636,0.16685851,-94.435509,-139.49475,-10.828765,-231.86043
1221090909.0909,0.16504967,-96.355347,133.9706,-10.670348,-231.40132
1221818181.8182,0.1590745,-86.846092,-169.63324,-10.293918,-231.53368
1222545454.5455,0.15351544,-102.11481,146.57475,-9.9334631,-231.53966
1223272727.2727,0.14835809,-97.515099,-156.21371,-9.5909748,-231.44229
1224000000,0.14596979,-89.513725,152.71318,-9.4249439,-231.29916
1224727272.7273,0.14346042,-87.744446,163.59659,-9.236659,-230.96237
1225454545.4545,0.13702677,-91.954849,175.95145,-8.8270893,-231.04137
1226181818.1818,0.12993112,-89.453667,98.57341,-8.3446217,-230.6909
1226909090.9091,0.13183071,-89.04332,125.09385,-8.4633226,-230.63974
1227636363.6364,0.13107039,-86.556747,56.695473,-8.4194298,-230.71191
1228363636.3636,0.12834474,-96.325577,95.020546,-8.2500839,-230.80177
1229090909.0909,0.12080257,-91.83828,62.164326,-7.7686386,-230.86998
1229818181.8182,0.12082097,-110.0412,-85.325455,-7.7390389,-230.39119
1230545454.5455,0.12069599,-96.091934,-160.1033,-7.7392044,-230.51875
1231272727.2727,0.11817501,-93.829453,-138.79218,-7.5440102,-229.98949
1232000000,0.11295901,-92.065369,-122.58054,-7.2102256,-229.98599
1232727272.7273,0.10967269,-97.675102,178.67691,-6.9971504,-229.93529
1233454545.4545,0.10572101,-94.203445,-126.21161,-6.7315497,-229.70169
1234181818.1818,0.10945595,-91.729965,-173.3297,-6.9798141,-229.87518
1234909090.9091,0.10264837,-92.902298,76.782341,-6.5268703,-229.54083
1235636363.6364,0.1039577,-87.035858,96.511688,-6.6129112,-229.58922
1236363636.3636,0.10240538,-91.526955,134.55443,-6.4994297,-229.3199
1237090909.0909,0.096610047,-97.078583,149.79849,-6.1272593,-229.24416
1237818181.8182,0.09307988,-93.397141,137.55367,-5.9047503,-229.27777
1238545454.5455,0.092138596,-93.418251,-156.51328,-5.8285594,-228.94061
1239272727.2727,0.087285474,-89.273056,171.8029,-5.516829,-228.84514
1240000000,0.084082998,-92.708961,-169.41537,-5.3177714,-228.92516
1240727272.7273,0.082241528,-97.289833,101.93332,-5.1943355,-228.76697
1241454545.4545,0.080257073,-105.62472,-108.79855,-5.0695868,-228.78346
1242181818.1818,0.076096028,-88.021751,-66.888443,-4.8029656,-228.69453
1242909090.9091,0.074093483,-90.989624,61.165329,-4.6751614,-228.66089
1243636363.6364,0.073461749,-95.758469,163.0211,-4.6288738,-228.49562
1244363636.3636,0.068921544,-92.02124,-166.12889,-4.3402529,-228.43086
1245090909.0909,0.070141137,-88.377396,-172.97366,-4.420774,-228.53021
1245818181.8182,0.074835159,-93.392586,113.81105,-4.7012281,-228.13373
1246545454.5455,0.067837022,-91.630943,46.507488,-4.25174,-227.86514
1247272727.2727,0.065095626,-88.945084,162.83714,-4.0755696,-227.74081
1248000000,0.062778331,-90.610222,95.103035,-3.9246316,-227.56535
1248727272.7273,0.061476063,-92.677429,-13.382567,-3.8303421,-227.16672
1249454545.4545,0.055764589,-89.703041,7.7320523,-3.4690061,-226.98436
1250181818.1818,0.057462722,-90.24868,88.876648,-3.5758917,-227.02441
1250909090.9091,0.050127935,-89.918701,-150.20953,-3.1143599,-226.83653
1251636363.6364,0.048393518,-101.19637,-76.536583,-3.0044653,-226.75333
1252363636.3636,0.049566433,-85.295372,-112.6341,-3.0749102,-226.66057
