Freq(Hz),s21 unwrapped phase(Deg)
3020000000.0,-382.272
3021000000.0,-381.9134
3022000000.0,-381.9842
3023000000.0,-382.0938
3024000000.0,-381.9044
3025000000.0,-382.2714
3026000000.0,-382.7425
3027000000.0,-383.1584
3028000000.0,-383.9189
3029000000.0,-384.416
3030000000.0,-385.2251
3031000000.0,-385.9579
3032000000.0,-386.9211
3033000000.0,-387.8732
3034000000.0,-388.8648
3035000000.0,-389.865
3036000000.0,-391.1866
3037000000.0,-391.9505
3038000000.0,-392.8676
3039000000.0,-393.9666
3040000000.0,-394.7606
3041000000.0,-395.5734
3042000000.0,-396.2504
3043000000.0,-397.0231
3044000000.0,-397.4807
3045000000.0,-397.858
3046000000.0,-398.224
3047000000.0,-398.2089
3048000000.0,-398.1831
3049000000.0,-398.2188
3050000000.0,-398.0423
3051000000.0,-397.5191
3052000000.0,-397.081
3053000000.0,-396.5978
3054000000.0,-396.2408
3055000000.0,-395.4371
3056000000.0,-394.9078
3057000000.0,-394.5226
3058000000.0,-394.0391
3059000000.0,-393.3097
3060000000.0,-392.7266
3061000000.0,-392.3215
3062000000.0,-391.8516
3063000000.0,-391.7622
3064000000.0,-391.2883
3065000000.0,-391.3791
3066000000.0,-391.3011
3067000000.0,-391.2875
3068000000.0,-391.5718
3069000000.0,-391.9675
3070000000.0,-392.3003
3071000000.0,-392.739
3072000000.0,-393.5722
3073000000.0,-393.9442
