!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:28:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1243636363.6364,-46.344757,-0.062435325,-40.584969,49.548176,-0.16058074
1244363636.3636,-46.85363,-0.062752984,-40.599842,49.566593,-0.1293862
1245090909.0909,-47.26675,-0.062122252,-40.606422,49.607227,-0.17860666
1245818181.8182,-46.743412,-0.062902674,-40.645885,49.555672,-0.1112113
1246545454.5455,-47.357254,-0.062942602,-40.67688,49.588528,-0.11381029
1247272727.2727,-46.323479,-0.065853968,-40.674122,49.536129,-0.12578994
1248000000,-47.35165,-0.066155598,-40.691494,49.588345,-0.11416595
1248727272.7273,-46.510075,-0.066377282,-40.704803,49.542595,-0.10996982
1249454545.4545,-46.02216,-0.065382883,-40.72691,49.507324,-0.068731092
1250181818.1818,-47.483265,-0.065119132,-40.780468,49.581528,-0.043615494
1250909090.9091,-46.625324,-0.072422557,-40.794598,49.537224,-0.036571629
